Protein1_STRING_ID	Protein2_STRING_ID	Combined_Score	Protein1_Name	Protein2_Name	Protein1_Ensembl_Gene_ID	Protein2_Ensembl_Gene_ID
10090.ENSMUSP00000000451	10090.ENSMUSP00000005066	997	Raf1	Map2k1	ENSMUSG00000000441	ENSMUSG00000004936
10090.ENSMUSP00000000590	10090.ENSMUSP00000005218	997	Rdx	Cd44	ENSMUSG00000032050	ENSMUSG00000005087
10090.ENSMUSP00000000756	10090.ENSMUSP00000008036	997	Rpl13	Rplp1	ENSMUSG00000000740	ENSMUSG00000007892
10090.ENSMUSP00000004202	10090.ENSMUSP00000013931	997	Dnmt1	Ehmt2	ENSMUSG00000004099	ENSMUSG00000013787
10090.ENSMUSP00000005066	10090.ENSMUSP00000000451	997	Map2k1	Raf1	ENSMUSG00000004936	ENSMUSG00000000441
10090.ENSMUSP00000005218	10090.ENSMUSP00000000590	997	Cd44	Rdx	ENSMUSG00000005087	ENSMUSG00000032050
10090.ENSMUSP00000006101	10090.ENSMUSP00000000312	997	Itgae	Cdh1	ENSMUSG00000005947	ENSMUSG00000000303
10090.ENSMUSP00000008036	10090.ENSMUSP00000000756	997	Rplp1	Rpl13	ENSMUSG00000007892	ENSMUSG00000000740
10090.ENSMUSP00000013931	10090.ENSMUSP00000004202	997	Ehmt2	Dnmt1	ENSMUSG00000013787	ENSMUSG00000004099
10090.ENSMUSP00000000028	10090.ENSMUSP00000007296	996	Cdc45	Pole	ENSMUSG00000000028	ENSMUSG00000007080
10090.ENSMUSP00000000090	10090.ENSMUSP00000005647	996	Cox5a	Ndufs3	ENSMUSG00000000088	ENSMUSG00000005510
10090.ENSMUSP00000000122	10090.ENSMUSP00000004614	996	Ngfr	Zfp110	ENSMUSG00000000120	ENSMUSG00000058638
10090.ENSMUSP00000000767	10090.ENSMUSP00000002891	996	Rpa1	Top3a	ENSMUSG00000000751	ENSMUSG00000002814
10090.ENSMUSP00000001479	10090.ENSMUSP00000004054	996	Kpnb1	Kpna1	ENSMUSG00000001440	ENSMUSG00000022905
10090.ENSMUSP00000001818	10090.ENSMUSP00000004200	996	Crnkl1	Cwc15	ENSMUSG00000001767	ENSMUSG00000004096
10090.ENSMUSP00000001884	10090.ENSMUSP00000002735	996	Clpb	Clpp	ENSMUSG00000001829	ENSMUSG00000002660
10090.ENSMUSP00000002198	10090.ENSMUSP00000002529	996	Sf3a1	Prpf6	ENSMUSG00000002129	ENSMUSG00000002455
10090.ENSMUSP00000002198	10090.ENSMUSP00000002551	996	Sf3a1	Snrpd1	ENSMUSG00000002129	ENSMUSG00000002477
10090.ENSMUSP00000002529	10090.ENSMUSP00000002198	996	Prpf6	Sf3a1	ENSMUSG00000002455	ENSMUSG00000002129
10090.ENSMUSP00000002551	10090.ENSMUSP00000002198	996	Snrpd1	Sf3a1	ENSMUSG00000002477	ENSMUSG00000002129
10090.ENSMUSP00000002678	10090.ENSMUSP00000009705	996	Tgfb1	Eng	ENSMUSG00000002603	ENSMUSG00000026814
10090.ENSMUSP00000002735	10090.ENSMUSP00000001884	996	Clpp	Clpb	ENSMUSG00000002660	ENSMUSG00000001829
10090.ENSMUSP00000002891	10090.ENSMUSP00000000767	996	Top3a	Rpa1	ENSMUSG00000002814	ENSMUSG00000000751
10090.ENSMUSP00000003826	10090.ENSMUSP00000008734	996	Htr3a	Htr3b	ENSMUSG00000032269	ENSMUSG00000008590
10090.ENSMUSP00000004054	10090.ENSMUSP00000001479	996	Kpna1	Kpnb1	ENSMUSG00000022905	ENSMUSG00000001440
10090.ENSMUSP00000004200	10090.ENSMUSP00000001818	996	Cwc15	Crnkl1	ENSMUSG00000004096	ENSMUSG00000001767
10090.ENSMUSP00000004396	10090.ENSMUSP00000006431	996	Atp6v1f	Atp6v1b1	ENSMUSG00000004285	ENSMUSG00000006269
10090.ENSMUSP00000004614	10090.ENSMUSP00000000122	996	Zfp110	Ngfr	ENSMUSG00000058638	ENSMUSG00000000120
10090.ENSMUSP00000005509	10090.ENSMUSP00000006181	996	Stx1a	Napa	ENSMUSG00000007207	ENSMUSG00000006024
10090.ENSMUSP00000005647	10090.ENSMUSP00000000090	996	Ndufs3	Cox5a	ENSMUSG00000005510	ENSMUSG00000000088
10090.ENSMUSP00000006181	10090.ENSMUSP00000005509	996	Napa	Stx1a	ENSMUSG00000006024	ENSMUSG00000007207
10090.ENSMUSP00000006431	10090.ENSMUSP00000004396	996	Atp6v1b1	Atp6v1f	ENSMUSG00000006269	ENSMUSG00000004285
10090.ENSMUSP00000006856	10090.ENSMUSP00000007296	996	Pola1	Pole	ENSMUSG00000006678	ENSMUSG00000007080
10090.ENSMUSP00000007296	10090.ENSMUSP00000000028	996	Pole	Cdc45	ENSMUSG00000007080	ENSMUSG00000000028
10090.ENSMUSP00000007296	10090.ENSMUSP00000006856	996	Pole	Pola1	ENSMUSG00000007080	ENSMUSG00000006678
10090.ENSMUSP00000008734	10090.ENSMUSP00000003826	996	Htr3b	Htr3a	ENSMUSG00000008590	ENSMUSG00000032269
10090.ENSMUSP00000009705	10090.ENSMUSP00000002678	996	Eng	Tgfb1	ENSMUSG00000026814	ENSMUSG00000002603
10090.ENSMUSP00000000186	10090.ENSMUSP00000005452	995	Fgf23	Fgfr4	ENSMUSG00000000182	ENSMUSG00000005320
10090.ENSMUSP00000000187	10090.ENSMUSP00000005452	995	Fgf6	Fgfr4	ENSMUSG00000000183	ENSMUSG00000005320
10090.ENSMUSP00000000590	10090.ENSMUSP00000001055	995	Rdx	Icam2	ENSMUSG00000032050	ENSMUSG00000001029
