STRING_Protein_ID	Ensembl_Protein_ID	Ensembl_Gene_ID	Protein_Name
10090.ENSMUSP00000001115	ENSMUSP00000001115	ENSMUSG00000074886	Grk6
10090.ENSMUSP00000001122	ENSMUSP00000001122	ENSMUSG00000001095	Slc13a2
10090.ENSMUSP00000001125	ENSMUSP00000001125	ENSMUSG00000001098	Kctd10
10090.ENSMUSP00000001126	ENSMUSP00000001126	ENSMUSG00000020829	Slc46a1
10090.ENSMUSP00000001127	ENSMUSP00000001127	ENSMUSG00000001100	Poldip2
10090.ENSMUSP00000001130	ENSMUSP00000001130	ENSMUSG00000001103	Sebox
10090.ENSMUSP00000001147	ENSMUSP00000001147	ENSMUSG00000001119	Col6a1
10090.ENSMUSP00000001148	ENSMUSP00000001148	ENSMUSG00000001120	Pcbp3
10090.ENSMUSP00000001155	ENSMUSP00000001155	ENSMUSG00000001127	Araf
10090.ENSMUSP00000001156	ENSMUSP00000001156	ENSMUSG00000001128	Cfp
10090.ENSMUSP00000001166	ENSMUSP00000001166	ENSMUSG00000001138	Cnnm3
10090.ENSMUSP00000001172	ENSMUSP00000001172	ENSMUSG00000079610	Ankrd39
10090.ENSMUSP00000001179	ENSMUSP00000001179	ENSMUSG00000001151	Pcnt
10090.ENSMUSP00000001181	ENSMUSP00000001181	ENSMUSG00000020241	Col6a2
10090.ENSMUSP00000001183	ENSMUSP00000001183	ENSMUSG00000001155	Ftcd
10090.ENSMUSP00000001184	ENSMUSP00000001184	ENSMUSG00000001156	Mxd1
10090.ENSMUSP00000001185	ENSMUSP00000001185	ENSMUSG00000001157	Gmcl1
10090.ENSMUSP00000001186	ENSMUSP00000001186	ENSMUSG00000001158	Snrnp27
10090.ENSMUSP00000001202	ENSMUSP00000001202	ENSMUSG00000001173	Ocrl
10090.ENSMUSP00000001226	ENSMUSP00000001226	ENSMUSG00000022436	Sh3bp1
10090.ENSMUSP00000001240	ENSMUSP00000001240	ENSMUSG00000001211	Agpat3
10090.ENSMUSP00000001242	ENSMUSP00000001242	ENSMUSG00000053329	Gatd3a
10090.ENSMUSP00000001247	ENSMUSP00000001247	ENSMUSG00000029130	Rnf32
10090.ENSMUSP00000001253	ENSMUSP00000001253	ENSMUSG00000020651	Slc26a4
10090.ENSMUSP00000001254	ENSMUSP00000001254	ENSMUSG00000001225	Slc26a3
10090.ENSMUSP00000001256	ENSMUSP00000001256	ENSMUSG00000001227	Sema6b
10090.ENSMUSP00000001258	ENSMUSP00000001258	ENSMUSG00000001228	Uhrf1
10090.ENSMUSP00000001279	ENSMUSP00000001279	ENSMUSG00000001247	Lsr
10090.ENSMUSP00000001280	ENSMUSP00000001280	ENSMUSG00000001248	Gramd1a
10090.ENSMUSP00000001304	ENSMUSP00000001304	ENSMUSG00000001270	Ckb
10090.ENSMUSP00000001319	ENSMUSP00000001319	ENSMUSG00000001300	Efnb2
10090.ENSMUSP00000001326	ENSMUSP00000001326	ENSMUSG00000001280	Sp1
10090.ENSMUSP00000001327	ENSMUSP00000001327	ENSMUSG00000001281	Itgb7
10090.ENSMUSP00000001339	ENSMUSP00000001339	ENSMUSG00000001305	Rrp15
10090.ENSMUSP00000001347	ENSMUSP00000001347	ENSMUSG00000001313	Rnd2
10090.ENSMUSP00000001384	ENSMUSP00000001384	ENSMUSG00000001349	Cnn1
10090.ENSMUSP00000001402	ENSMUSP00000001402	ENSMUSG00000001366	Fbxo9
10090.ENSMUSP00000001412	ENSMUSP00000001412	ENSMUSG00000001376	Vps50
10090.ENSMUSP00000001415	ENSMUSP00000001415	ENSMUSG00000117679	Apbb3
10090.ENSMUSP00000001416	ENSMUSP00000001416	ENSMUSG00000001380	Hars
10090.ENSMUSP00000001419	ENSMUSP00000001419	ENSMUSG00000001383	Zmat2
10090.ENSMUSP00000001451	ENSMUSP00000001451	ENSMUSG00000001415	Smg5
10090.ENSMUSP00000001452	ENSMUSP00000001452	ENSMUSG00000001416	Cct3
10090.ENSMUSP00000001456	ENSMUSP00000001456	ENSMUSG00000001420	Tmem79
10090.ENSMUSP00000001460	ENSMUSP00000001460	ENSMUSG00000001424	Snd1
10090.ENSMUSP00000001479	ENSMUSP00000001479	ENSMUSG00000001440	Kpnb1
10090.ENSMUSP00000001480	ENSMUSP00000001480	ENSMUSG00000001441	Npepps
10090.ENSMUSP00000001484	ENSMUSP00000001484	ENSMUSG00000001444	Tbx21
10090.ENSMUSP00000001485	ENSMUSP00000001485	ENSMUSG00000001445	Mrpl10
10090.ENSMUSP00000001497	ENSMUSP00000001497	ENSMUSG00000022219	Cideb
10090.ENSMUSP00000001507	ENSMUSP00000001507	ENSMUSG00000001467	Cyp51
10090.ENSMUSP00000001513	ENSMUSP00000001513	ENSMUSG00000001473	Tubb6
10090.ENSMUSP00000001520	ENSMUSP00000001520	ENSMUSG00000031967	Afg3l1
10090.ENSMUSP00000001534	ENSMUSP00000001534	ENSMUSG00000001494	Sost
10090.ENSMUSP00000001536	ENSMUSP00000001536	ENSMUSG00000001496	Nkx2-1
10090.ENSMUSP00000001544	ENSMUSP00000001544	ENSMUSG00000023186	Vwa5a
10090.ENSMUSP00000001547	ENSMUSP00000001547	ENSMUSG00000001506	Col1a1
10090.ENSMUSP00000001559	ENSMUSP00000001559	ENSMUSG00000001518	Itfg2
10090.ENSMUSP00000001562	ENSMUSP00000001562	ENSMUSG00000001521	Tulp3
10090.ENSMUSP00000001565	ENSMUSP00000001565	ENSMUSG00000001524	Gtf2h4
10090.ENSMUSP00000001566	ENSMUSP00000001566	ENSMUSG00000001525	Tubb5
10090.ENSMUSP00000001569	ENSMUSP00000001569	ENSMUSG00000059714	Flot1
10090.ENSMUSP00000001583	ENSMUSP00000001583	ENSMUSG00000001542	Ell2
10090.ENSMUSP00000001592	ENSMUSP00000001592	ENSMUSG00000001552	Jup
10090.ENSMUSP00000001595	ENSMUSP00000001595	ENSMUSG00000001555	Fkbp10
10090.ENSMUSP00000001599	ENSMUSP00000001599	ENSMUSG00000001558	Klhl10
10090.ENSMUSP00000001611	ENSMUSP00000001611	ENSMUSG00000001569	Nom1
10090.ENSMUSP00000001620	ENSMUSP00000001620	ENSMUSG00000027680	Fxr1
10090.ENSMUSP00000001626	ENSMUSP00000001626	ENSMUSG00000001583	Tnk1
10090.ENSMUSP00000001631	ENSMUSP00000001631	ENSMUSG00000001588	Acap1
10090.ENSMUSP00000001652	ENSMUSP00000001652	ENSMUSG00000021070	Bdkrb2
10090.ENSMUSP00000001672	ENSMUSP00000001672	ENSMUSG00000001627	Ifrd1
10090.ENSMUSP00000001675	ENSMUSP00000001675	ENSMUSG00000001630	Stk38l
10090.ENSMUSP00000001699	ENSMUSP00000001699	ENSMUSG00000022484	Hoxc10
10090.ENSMUSP00000001700	ENSMUSP00000001700	ENSMUSG00000001655	Hoxc13
10090.ENSMUSP00000001701	ENSMUSP00000001701	ENSMUSG00000001656	Hoxc11
10090.ENSMUSP00000001703	ENSMUSP00000001703	ENSMUSG00000001657	Hoxc8
10090.ENSMUSP00000001706	ENSMUSP00000001706	ENSMUSG00000036139	Hoxc9
10090.ENSMUSP00000001709	ENSMUSP00000001709	ENSMUSG00000022485	Hoxc5
10090.ENSMUSP00000001711	ENSMUSP00000001711	ENSMUSG00000001661	Hoxc6
10090.ENSMUSP00000001712	ENSMUSP00000001712	ENSMUSG00000020196	Cabin1
10090.ENSMUSP00000001713	ENSMUSP00000001713	ENSMUSG00000001663	Gstt1
10090.ENSMUSP00000001715	ENSMUSP00000001715	ENSMUSG00000001665	Gstt3
10090.ENSMUSP00000001716	ENSMUSP00000001716	ENSMUSG00000001666	Ddt
10090.ENSMUSP00000001720	ENSMUSP00000001720	ENSMUSG00000001670	Tat
10090.ENSMUSP00000001722	ENSMUSP00000001722	ENSMUSG00000001672	Marveld3
10090.ENSMUSP00000001724	ENSMUSP00000001724	ENSMUSG00000001674	Ddx18
10090.ENSMUSP00000001757	ENSMUSP00000001757	ENSMUSG00000001707	Eef1e1
10090.ENSMUSP00000001780	ENSMUSP00000001780	ENSMUSG00000001729	Akt1
10090.ENSMUSP00000001792	ENSMUSP00000001792	ENSMUSG00000001741	Il16
10090.ENSMUSP00000001802	ENSMUSP00000001802	ENSMUSG00000001751	Naglu
10090.ENSMUSP00000001809	ENSMUSP00000001809	ENSMUSG00000022283	Pabpc1
10090.ENSMUSP00000001812	ENSMUSP00000001812	ENSMUSG00000001761	Smo
10090.ENSMUSP00000001818	ENSMUSP00000001818	ENSMUSG00000001767	Crnkl1
10090.ENSMUSP00000001824	ENSMUSP00000001824	ENSMUSG00000001773	Folh1
10090.ENSMUSP00000001825	ENSMUSP00000001825	ENSMUSG00000001774	Chordc1
10090.ENSMUSP00000001834	ENSMUSP00000001834	ENSMUSG00000001783	Rtcb
10090.ENSMUSP00000001836	ENSMUSP00000001836	ENSMUSG00000001785	Pwp1
10090.ENSMUSP00000001845	ENSMUSP00000001845	ENSMUSG00000001794	Capns1
10090.ENSMUSP00000001854	ENSMUSP00000001854	ENSMUSG00000030495	Slc7a10
10090.ENSMUSP00000001872	ENSMUSP00000001872	ENSMUSG00000001819	Hoxd13
10090.ENSMUSP00000001878	ENSMUSP00000001878	ENSMUSG00000001823	Hoxd12
10090.ENSMUSP00000001884	ENSMUSP00000001884	ENSMUSG00000001829	Clpb
10090.ENSMUSP00000001900	ENSMUSP00000001900	ENSMUSG00000001844	Zdhhc4
10090.ENSMUSP00000001920	ENSMUSP00000001920	ENSMUSG00000001864	Aif1l
10090.ENSMUSP00000001921	ENSMUSP00000001921	ENSMUSG00000001865	Cpa3
